ui_NewStarGames	New Star Games
ui_FavoriteTeam	Favorite Team
ui_YourName	Your Name
ui_FirstName	First Name
ui_LastName	Last Name
ui_Details	Details
ui_NewCareer	New Career
news_NewCareer	With just $num $weeks left in the regular season $teamname have appointed $coachname as their new head coach.##$lname has worked at the college level for several years and was excelling as the head coach of $randomcollegename before taking the reigns at $teamname.
ui_FaveTeamNote	Please Note: You will not start with your favourite team
msg_Intro_1	Welcome to $teamname!##This is your home screen. You can tap on the division table to view divisions and the schedule.##When you are ready tap the F.OFFICE button.
msg_Intro_2	From the Front Office you can upgrade facilities and staff.##Tapping an 'i' icon will bring up useful information.
msg_Intro_3	I'm sure you want to meet your players so let's check the ROSTER screen.
msg_Intro_4	These are your key players. You don't need to manage the entire roster, just take care of these guys and everyone else will fall into line.##Tap on a player to open his profile.
msg_Intro_5	Here you can view player details and attributes. Keep an eye on morale and condition.##Poor morale can lead to game penalties and problems off the field.##Low condition can lead to injury or worse - fumbles!
msg_Intro_6	Before we head into a game let's go over the basics for controlling your players on the field.
msg_Intro_8	Well done! You have taken charge of $teamname near the end of difficult season - just enough time to get the hang of things before next season starts.##The $teamname fans are desperate for you to turn things around. Good luck!
msg_Intro_Passing	First up, passing.##Drag your finger in the opposite direction of the running receiver to aim, then release to throw.
msg_Intro_Running	Nice! At the start of each play you can hand the ball off to your Running Back by tapping the blue circle.##Swiping up or down whilst running will perform a side-step or you can swipe back to slow up.
msg_Intro_RunningBrowser	Nice! At the start of each play you can hand the ball off to your Running Back by clicking on the blue circle.##Use W or S whilst running to perform a side-step.
msg_Intro_Kicking	Great! You can also swipe forward to dive with the ball to reach for a first down or touchdown. Diving also protects against a fumble!##Finally, kicking. Two well timed taps and the ball will fly through the uprights!
msg_Intro_KickingBrowser	Great! You can also use A and D to dive or slow-up when carrying the ball.##Finally, kicking. Two well timed clicks and the ball will fly through the uprights!
msg_Intro_SuccessPass	Excellent! This time the quarterback will run back with the ball 
slightly...
msg_Intro_SuccessKick	Nice kick! Remember, the goal posts are the same width as the hash marks on the field. You can use the faint triangle on the ground as a guide.##Let's try one a bit further out...
ui_Ok	OK
ui_Skip	Skip
injurytype_0	Head
injurytype_1	Neck
injurytype_2	Shoulder
injurytype_3	Arm
injurytype_4	Wrist
injurytype_5	Hand
injurytype_6	Hip
injurytype_7	Thigh
injurytype_8	Knee
injurytype_9	Calf
injurytype_10	Ankle
injurytype_11	Foot
ui_SkipTutorial	Skip Tutorial
ui_Credits	Designed by Simon Read      ***      Art by John Savage @pixelnfl      ***      Music by Heatley Bros      ***      Special thanks to John Holden, @MrSpecialK_ and Five Aces
match_TooLow	Too Low
match_Doink	Doink
ui_WeatherFX	Weather FX
ui_Rest	Rest
ui_Resting	Resting
msg_Rest	Do you want to rest $pos $playername for the next game?
ui_RestPlayer	Rest Player
msg_RosterLimit	You have reached the roster limit. You will need to cut players before you can sign new ones.
ui_Heads	Heads
ui_Tails	Tails
msg_CoinToss	Heads or tails?
msg_CoinTossWin	You won the coin toss! Do you want to receive the kick off or receive?
msg_CoinTossLoss1	$teamname won the toss and will kick off.
msg_CoinTossLoss2	$teamname won the toss and will receive the kick off.
match_KickOff	Kick Off
match_Receive	Receive
news_firstmatchWin	$yourname's first game in charge of $teamname1 ended with a win against $teamname2.##The $teamname1 fans will be looking forward to next season now with renewed hope.
news_firstmatchLoss	$yourname's first game in charge of $teamname1 ended in defeat against $teamname2.##$yourlastname will be left in no doubt about how much work there is to do to turn his team's fortunes around.
news_firstmatchTie	$yourname managed to avoid defeat in his first game in charge of $teamname1.##$yourlastname will be hoping for a good draft to boost their play-off chances next season.
coachtrait_0	None
coachtrait_1	Experience
coachtrait_2	Talent Spotter
coachtrait_3	Motivator
coachtrait_4	Negotiator
coachtrait_5	Fan Favorite
coachtrait_6	Physio
coachtrait_7	Likeable
coachtrait_8	Positive
info_coachtrait_0	Coaches can have traits which offer various team boosts. This coach does not have a trait.
info_coachtrait_1	Instant level up for $pos players.
info_coachtrait_2	Instant potential increase for $pos players.
info_coachtrait_3	Instant morale boost for $pos players.
info_coachtrait_4	Toxic players ($pos) have no negative impact on teammates.
info_coachtrait_5	Fan happiness boosted by +1% per game but takes a hit when fired.
info_coachtrait_6	Condition boost of 5% per game for $pos players.
info_coachtrait_7	XP boost of 5% per game for $pos players but team morale suffers when fired.
info_coachtrait_8	Tiredness has no effect on $pos player morale.
ui_Trait	Trait
ui_ViewHires	View Hires
ui_AvailableStaff	Available Staff
ui_Available	Available
ui_Current	Current
ui_Hire	Hire
ui_Offensive	Offensive
ui_Defensive	Defensive
ui_JobOffers	Job Offers
ui_RejectAll	Reject All
msg_JobOffers_1	Your raw talent as a head coach is making waves in the league. A few teams are interested in taking you on.
msg_JobOffers_2	Your reputation is growing! The following teams are interested in taking you on as head coach.
msg_JobOffers_3	Your reputation is widely acknowledged within the game and there are a number of teams interested in taking you on as head coach.
msg_JobOffers_4	Your wealth of experience and knowledge of the game make you the most highly sought after coach in the league. Teams are queuing up to take you on as head coach.
msg_ChooseNewTeam	Do you want to take charge of $teamname?
news_NewJob1	$oldteamname head coach $yourname has decided it is time to move on as he takes charge of $newteamname.
news_NewJob2	$yourname has called it a day at $oldteamname as he takes on a new challenge as head coach of $newteamname.
news_NewJob3	$oldteamname fans may be in shock today as $yourname walks out on them to become the new head coach of $newteamname.
news_FavoriteTeam1	$yourlastname said that the $newteamname role is his dream job and he looks forward to a long and prosperous spell at the helm.
news_FavoriteTeam2	$yourlastname's allegiance to $newteamname has been well documented and the move won't be a surprise to many.
news_FavoriteTeam3	Rumours of the move have been circulating for some time, with many believing the new role to be $yourlastname's lifelong ambition.
dilemma_Owner1	The owner has invited you to a board meeting. It clashes with a media function.-choice_MeetOwner-choice_MeetMedia
dilemma_Owner2	The owner wants you to meet with some shareholders. You had scheduled a meeting with the team.-choice_MeetOwner-choice_MeetTeam
dilemma_Owner3	The owner wants to discuss future plans with you. You were intending to hold a meeting with your coaching staff.-choice_MeetOwner-choice_MeetCoaches
choice_MeetOwner	Meet Owner
choice_MeetCoaches	Meet Coaches
choice_MeetTeam	Meet Team
choice_MeetMedia	Meet Media
dilemma_Coach_BustUp	Your $coachposition has had a major argument with $playername.-choice_SideWithCoach-choice_SideWithPlayer
choice_SideWithCoach	Side With#Coach
choice_SideWithPlayer	Side With#Player
dilemma_RestPlayer	Hey coach, I'm feeling totally exhausted. Can I rest for the next game?-choice_RestYes-choice_RestNo
choice_RestYes	Yes
choice_RestNo	No
dilemma_toxic1	$playername was arrested and later released on bail for possession of recreational drugs last night.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic2	$playername was caught on CCTV fighting outside a nightclub in the early hours of the morning.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic3	Footage has appeared on social media of $playername drinking multiple shots of tequila in a bar the night before a game.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic4	CCTV footage of $playername spending thousands of dollars in a casino has appeared on social media.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic5	The latest social media scandal is footage of $playername surrounded by women and partying into the early hours of the morning the night before a game.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic6	Photos of $playername having a drunken party with friends on a house boat have appeared on the internet.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic7	A female reporter has accused $playername of sending her lewd text messages over the past few weeks.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic8	$playername has been accused of betting on football games, including one in which he played.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic9	CCTV footage has emerged showing $playername fighting with a stranger in a hotel corridor.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic10	$playername was arrested in his car by an undercover female police officer last night.-choice_DefendPlayer-choice_CriticisePlayer
dilemma_toxic11	$playername made a hit on a defenseless player in training today.-choice_IgnoreFine-choice_FinePlayer
dilemma_toxic12	$playername made a very late hit on a player in training today.-choice_IgnoreFine-choice_FinePlayer
dilemma_toxic13	$playername was verbally abusive towards the coaching staff today.-choice_IgnoreFine-choice_FinePlayer
dilemma_random1	$playername was stopped by the police and given a ticket for speeding last night.-choice_IgnoreFine-choice_FinePlayer
dilemma_random2	$playername was stopped by the police last night and was found to be in possession of illegal substances.-choice_IgnoreFine-choice_FinePlayer
dilemma_random3	The team broke a curfew and were out partying all night! $playername was the ring leader.-choice_FinePlayer-choice_CriticiseTeam
dilemma_late1	$playername was late for training today.-choice_IgnoreFine-choice_FinePlayer
dilemma_late2	$playername turned up late for a team meeting today.-choice_IgnoreFine-choice_FinePlayer
dilemma_late3	$playername didn't turn up for a meeting with the coaching staff today.-choice_IgnoreFine-choice_FinePlayer
choice_IgnoreFine	Ignore Fine
choice_FinePlayer	Fine Player
news_CharityWork1	$playername has been praised for his charity work supporting $randomcharity.
news_CharityWork2	$playername featured on national news when he visited a children's hospital today.
news_CharityWork3	$playername received an award for his work supporting $randomcharity.
news_CharityWork4	$playername's foundation which supports $randomcharity has received widespread praise.
news_CharityWork5	$playername has been widely praised for helping to raise money for victims of hurricane $randomfname_female.
news_CharityWork6	$playername was photographed shaking hands with the president today commemorating the player's foundation which supports $randomcharity.
ui_ExtendContract	Extend#Contract
ui_Achievement	Achievement
ui_Achievements	Achievements
btn_HallOfFame	Hall of#Fame
ui_HallOfFame	Hall of Fame
ui_RetroBowls	Retro Bowls
ui_RetroBowl	Retro Bowl
pos_1	1st
pos_2	2nd
pos_3	3rd
pos_4	4th
finish_Regular	No
finish_WildCard	Wild Card
finish_Divisional	Divisional
finish_Championship	Championship
finish_Champ_AFC	AFC Champion
finish_Champ_NFC	NFC Champion
finish_SuperBowl	Champions
ui_History	History
ui_Finished	Finished
ui_Record	Record
iap_RestoreSuccess	Purchase restore successful
iap_RestoreFail	Purchase restore failed
iap_PurchaseSuccess	Purchase successful!
msg_PurchaseUnlock	To continue playing you must purchase the full version for $price.##Do you wish to unlock the full version now?
msg_StoreConnect_Unlock	To continue playing you must unlock the full version.##Please make sure you are connected to the internet to make a purchase.
msg_PurchaseCredits	Would you like to purchase $num coaching credits for $price?
msg_StoreConnect	The store is unavailable. Please make sure you have an internet connection.
msg_StoreReview	Would you like to rate and review Retro Bowl on the store for $num coach credits?
ui_Store	Store
btn_FreeAgents	Free#Agents
btn_BuyCredits	Buy#Credits
btn_StaffHires	Staff#Hires
ui_Credits25	25
ui_Credits50	50
ui_Credits100	100
ui_FullVersion	Full Version
ui_Unlocked	Unlocked
ui_Unlock	Unlock
ui_Purchased	Purchased
ui_BuyCredits	Buy Credits
info_freeagents	Players in free agency are available to sign for any team. However, persuading them to join your team will require coaching credits and salary cap space.
ui_Done	Done
ui_Close	Close
btn_RestorePurchases	Restore#Purchases
ui_Connecting	Connecting...
ui_FavouriteTeam	Favorite Team
msg_Welcome	Welcome to Retro Bowl!##You are about to start your first season as the head coach of a pro football team.##The path to success is an arduous one but if you believe in yourself and can inspire your team then glory awaits!#
msg_LimitedVersion	*** Limited Version - $num games remaining ***
ui_Tip	Tip
ui_Tips	Tips
tip_1	Tired players are more likely to fumble the ball.
tip_2	Upgrading your rehab facility will improve energy recovery.
tip_3	After year 2 it is possible to get job offers from other teams.
tip_4	Toxic players bring down the attitudes of team mates after a loss.
tip_5	Players tire more as the season goes on.
tip_6	Strong players produce more stiff arms in a game.
tip_7	Upgrading your stadium will give the fans an immediate boost.
tip_8	Your quarterback's throwing range depletes during a game depending his stamina.
tip_9	Diving to the ground or running out of bounds will protect against fumbles.
tip_10	Tired players will lose morale.
tip_11	Some coaches have traits that can give the team a boost.
tip_12	Resting a tired player will boost his morale.
tip_13	A player's game performance can affect his morale.
tip_14	Poor catching skills lead to bobbles and dropped balls.
tip_15	Improve your rehab facility to reduce the number of injuries suffered.
tip_16	If your QB is getting rushed you need stronger offensive linemen.
tip_17	Coaching Credit isn't cash, it's kudos. It represents how much respect you have from the owner, team and fans.
tip_18	Upgrading your training facility will give players an immediate morale boost.
tip_19	Kick range depletes during a game depending on stamina.
tip_20	Fast players are more likely to skip tackles.
tip_21	Running the ball out of bounds will stop the clock.
tip_22	Experienced players are more likely to avoid tackles.
tip_23	Don't be afraid to throw the ball out of bounds to avoid a sack.
tip_24	Tired players get an immediate boost when you improve the rehab facilities.
tip_25	Only players with good catching skills can jump and dive catch the ball.
tip_26	Upgrading your rehab facility will give tired players an immediate boost.
tip_27	Older players lose more energy during a game.
tip_28	Cutting toxic players will improve team morale.
btn_NotInterested	Reject
ui_SoundFX	Sound FX
ui_Zoom	Cam Zoom
ui_Music	Music
ui_Menus	Menus
ui_Continuous	Continuous
